Board Size,Algorithm,Success Percentage,Avg Execution Time,Std Execution Time,Avg States Explored,Std States Explored
4,hill_climbing,100.0,0.0001367966334025065,0.0003550641458968147,3,0.0
4,simulated_annealing,100.0,6.665388743082682e-05,0.00025365951614827586,3,0.0
4,genetic,100.0,0.001078192392985026,0.0008338578437706269,1.2666666666666666,0.4497764451088036
8,hill_climbing,23.333333333333332,0.003192432721455892,0.0009959880464234302,6.366666666666666,0.490132517853561
8,simulated_annealing,96.66666666666667,0.024112613995869954,0.0593722136946663,75.4,181.65021332219789
8,genetic,100.0,0.07133402029673258,0.17516080048271865,11.066666666666666,29.78999291978633
10,hill_climbing,6.666666666666667,0.008122444152832031,0.002161537923143406,8.366666666666667,0.5560534167675355
10,simulated_annealing,100.0,0.050352859497070315,0.06146313483699264,65.06666666666666,78.99451457749034
10,genetic,66.66666666666666,4.732042201360067,5.780583445292875,395.3666666666667,480.92471870082875
12,hill_climbing,10.0,0.01392660935719808,0.0017880878470485284,10.3,0.466091599699399
12,simulated_annealing,96.66666666666667,0.11232614517211914,0.2364875102870608,85.4,179.05818742173904
12,genetic,56.666666666666664,10.11651360988617,10.623911715354174,460.43333333333334,483.3445749782649
